custom/intervention_type,custom/stage,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/iterations,time/fps,train/approx_kl,train/learning_rate,train/clip_fraction,train/entropy_loss,train/value_loss,train/loss,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/std,train/n_updates
"visual",2,5103616,1.1823562,441.59,11,1,358,,,,,,,,,,,
"visual",2,5107712,0.92939097,390.86,37,2,217,0.044038557,0.00025,0.48288370768229166,-23.200117089351018,0.03985504537801413,-0.5627697706222534,-0.0921941426199434,0.12706518173217773,0.2,3.1890082359313965,1365
"visual",2,5111808,0.88599265,363.63,63,3,193,0.06304462,0.00025,0.5531036376953125,-23.268422289689383,0.04407830812657873,-0.5791038870811462,-0.10517207304886446,0.5286191999912262,0.2,3.2192249298095703,1380
"visual",2,5115904,0.93944,344.14,89,4,183,0.059825007,0.00025,0.5580108642578125,-23.357726876934368,0.03111653089727042,-0.5767659544944763,-0.10818069192318944,0.4489558935165405,0.2,3.246852397918701,1395
"visual",2,5120000,0.96675277,330.27,115,5,177,0.06278717,0.00025,0.5513804117838542,-23.42300122578939,0.043825118740399675,-0.576363742351532,-0.10527781771136992,0.5295166671276093,0.2,3.2829344272613525,1410
"visual",2,5124096,1.04264,302.97,141,6,173,0.05074637,0.00025,0.5099049886067708,-23.52304293513298,0.054261436908079004,-0.5697487592697144,-0.0911781164148124,0.6550492346286774,0.2,3.314544200897217,1425
"visual",2,5128192,1.2171383,296.12,167,7,171,0.06047447,0.00025,0.576385498046875,-23.63742304742336,0.033371462714664325,-0.5823177099227905,-0.10715476243785815,0.6315197646617889,0.2,3.3557751178741455,1440
"visual",2,5132288,1.138129,296.53,193,8,169,0.056251105,0.00025,0.5466471354166667,-23.74714111983776,0.0286159102145272,-0.5918752551078796,-0.10659459069308165,0.6228838860988617,0.2,3.39730167388916,1455
"visual",2,5136384,1.1168288,303.77,218,9,168,0.078268126,0.00025,0.582159423828125,-23.897892225782076,0.021842100113766114,-0.5874801278114319,-0.09876187344658925,0.5885923206806183,0.2,3.4586613178253174,1470
"visual",2,5140480,1.1656543,326.06,244,10,167,0.062419128,0.00025,0.5918162027994792,-24.02973370452722,0.02705785209691385,-0.5973653793334961,-0.1121255370778575,0.7374525964260101,0.2,3.5118765830993652,1485
"visual",2,5144576,1.0251311,334.9,270,11,166,0.060258977,0.00025,0.570916748046875,-24.13827257057031,0.02162612269894453,-0.6026631593704224,-0.11010863158129117,0.6481108069419861,0.2,3.5486385822296143,1500
"visual",2,5148672,0.99689746,335.66,296,12,166,0.06743527,0.00025,0.5534250895182292,-24.279419788718222,0.06473114498270055,-0.5726954936981201,-0.09113705231332764,0.5868047475814819,0.2,3.60969877243042,1515
"visual",2,5152768,1.0361452,338.39,321,13,165,0.78591925,0.00025,0.6245157877604167,-24.37049039701621,0.030550018445743867,-0.601405143737793,-0.10964814840335749,0.5103590190410614,0.2,3.6511263847351074,1530
