intervention_type,stage,total_timesteps,mean_episode_reward,mean_episode_length,elapsed_time,iteration,frames_per_second,approx_kl_divergence,learning_rate,clip_fraction,entropy_loss,value_loss,policy_loss,policy_gradient_loss,explained_variance,clip_range,policy_std,num_updates,stage,intervention_type
angle,6,5316608,0.26372248,441.27,11,1,361,,,,,,,,,,,,6,angle
angle,6,5320704,0.19769111,431.55,37,2,216,0.061780866,0.00025,0.5488128662109375,-30.970637332399686,0.0289396336796926,-0.7201504111289978,-0.0936371143039044,0.6430702209472656,0.2,7.686843872070312,2145.0,6,angle
angle,6,5324800,0.11312605,425.13,64,3,190,0.07225025,0.00025,0.5901102701822917,-31.19166992306709,0.0306689657726868,-0.7334343194961548,-0.0993737478308806,0.6236411333084106,0.2,7.878910541534424,2160.0,6,angle
angle,6,5328896,-0.0015195442,423.44,90,4,180,0.07317149,0.00025,0.595855712890625,-31.3717571914196,0.0319686167262261,-0.7362841963768005,-0.1049769882898545,0.4876971244812011,0.2,8.023822784423828,2175.0,6,angle
angle,6,5332992,-0.101046994,410.88,117,5,174,0.06312142,0.00025,0.5476318359375,-31.4898777594169,0.0423025381819267,-0.7326154112815857,-0.0956700433305134,0.4734827876091003,0.2,8.1238431930542,2190.0,6,angle
angle,6,5337088,-0.24821559,417.83,143,6,171,0.07402429,0.00025,0.6005615234375,-31.740031345685324,0.0326464554513222,-0.7346186637878418,-0.1021533599084553,0.5132429897785187,0.2,8.403900146484375,2205.0,6,angle
angle,6,5341184,-0.40798104,408.47,165,7,173,0.07568906,0.00025,0.6257120768229166,-31.960506865382197,0.0342662993134581,-0.7548872828483582,-0.1109664877944548,0.5957348644733429,0.2,8.577264785766602,2220.0,6,angle
angle,6,5345280,-0.56752867,401.51,192,8,170,0.08621901,0.00025,0.5853729248046875,-32.12823196649551,0.0347561080838204,-0.7482600808143616,-0.1048355570249744,0.6524106562137604,0.2,8.750690460205078,2235.0,6,angle
angle,6,5349376,-0.61248785,404.56,218,9,168,0.06843732,0.00025,0.5567708333333333,-32.310068573554354,0.0306747128255665,-0.7527759671211243,-0.1018263279266345,0.5606085956096649,0.2,8.9244966506958,2250.0,6,angle
angle,6,5353472,-0.75352156,399.56,245,10,166,0.06855832,0.00025,0.5734547932942708,-32.483766746521,0.0349451478924796,-0.7516882419586182,-0.1031056069933887,0.4541670680046081,0.2,9.106953620910645,2265.0,6,angle
