elapsed_time,stage,frames_per_second,total_timesteps,iteration,intervention_type,mean_episode_length,mean_episode_reward,approx_kl_divergence,entropy_loss,learning_rate,clip_fraction,explained_variance,clip_range,policy_gradient_loss,policy_loss,policy_std,num_updates,value_loss,stage,intervention_type
9,6,454,5316608,1,goal,472.47,0.6351431,,,,,,,,,,,,6,goal
30,6,270,5320704,2,goal,463.34,0.52616143,0.06808059,-32.335642755031586,0.00025,0.5922831217447917,0.715494841337204,0.2,-0.1125246773034935,-0.7669541239738464,8.932595252990723,2145.0,0.035131305984881,6,goal
51,6,239,5324800,3,goal,468.34,0.4871732,0.06425578,-32.537331545352934,0.00025,0.5643900553385417,0.6078474223613739,0.2,-0.0997256925654558,-0.7684286236763,9.155020713806152,2160.0,0.0250090761469133,6,goal
72,6,225,5328896,4,goal,468.34,0.65511835,0.07632306,-32.760892458756764,0.00025,0.6015940348307292,0.7284189462661743,0.2,-0.1000197192799532,-0.7643648386001587,9.405976295471191,2175.0,0.0252944002728327,6,goal
93,6,218,5332992,5,goal,472.08,0.66328263,0.07317001,-32.94601875742276,0.00025,0.5849863688151041,0.6769236922264099,0.2,-0.1005897771530726,-0.7679767608642578,9.597712516784668,2190.0,0.0224893322709249,6,goal
114,6,213,5337088,6,goal,464.85,0.67699975,0.072675616,-33.16539107561111,0.00025,0.5799794514973958,0.3146335482597351,0.2,-0.0827921732930311,-0.752769947052002,9.849126815795898,2205.0,0.0394763915964479,6,goal
136,6,210,5341184,7,goal,456.95,0.6785585,0.07577133,-33.37616706291835,0.00025,0.5839762369791667,0.3770517706871032,0.2,-0.0920682291723399,-0.7646969556808472,10.0828218460083,2220.0,0.0335432902715789,6,goal
157,6,207,5345280,8,goal,456.55,0.5553193,0.07120765,-33.52585633595785,0.00025,0.596026611328125,0.7366756796836853,0.2,-0.1130979073592849,-0.8017457127571106,10.232312202453612,2235.0,0.0248898117458641,6,goal
178,6,206,5349376,9,goal,458.44,0.48368198,0.06073003,-33.63708822727203,0.00025,0.505706787109375,0.5787211656570435,0.2,-0.082011939248332,-0.7503618597984314,10.335638999938965,2250.0,0.0271759518625913,6,goal
200,6,204,5353472,10,goal,453.81,0.5681073,0.07033597,-33.91186370650927,0.00025,0.5522786458333333,0.3619379997253418,0.2,-0.072669998731726,-0.7732207179069519,10.7628173828125,2265.0,0.0299464313948798,6,goal
221,6,203,5357568,11,goal,449.05,0.4917203,0.07161199,-34.23260204990705,0.00025,0.5942179361979166,0.6105462312698364,0.2,-0.097532317902854,-0.7960818409919739,11.13303279876709,2280.0,0.0205534419003621,6,goal
1650,6,29,5361664,12,goal,453.68,0.3853346,0.086892515,-34.4959936439991,0.00025,0.5984670003255208,0.7151697874069214,0.2,-0.1019984121225813,-0.7993826866149902,11.493391036987305,2295.0,0.0297621350226108,6,goal
1672,6,31,5365760,13,goal,458.33,0.34964737,0.05850994,-34.7216898838679,0.00025,0.527545166015625,0.5910466015338898,0.2,-0.0972773014601746,-0.7987014055252075,11.701276779174805,2310.0,0.0488714925168703,6,goal
9,3,453,5156864,1,visual,317.45,1.2284613,,,,,,,,,,,,3,visual
29,3,273,5160960,2,visual,323.52,1.2485107,0.089726135,-24.950293692946435,0.00025,0.625897216796875,0.60342937707901,0.2,-0.0996673873092125,-0.593508243560791,3.896140575408936,1560.0,0.0214201022759273,3,visual
51,3,240,5165056,3,visual,333.19,1.2035601,0.07176524,-25.136352190375327,0.00025,0.6159983317057292,0.8200380653142929,0.2,-0.1098777756051276,-0.6195054650306702,3.983280658721924,1575.0,0.0153304612414406,3,visual
71,3,228,5169152,4,visual,354.31,1.2151458,0.17760262,-25.301373401284216,0.00025,0.6149566650390625,0.6249578595161438,0.2,-0.1046373297014118,-0.6080474853515625,4.0442328453063965,1590.0,0.0391711973769512,3,visual
92,3,220,5173248,5,visual,356.08,1.2163223,0.07685268,-25.397539922595023,0.00025,0.6265513102213541,0.7669060081243515,0.2,-0.1126874337899304,-0.6248312592506409,4.08757209777832,1605.0,0.0300329135037221,3,visual
113,3,216,5177344,6,visual,345.86,1.2734202,0.08803242,-25.52605760296186,0.00025,0.6546793619791667,0.7905432879924774,0.2,-0.1168780909987011,-0.637627124786377,4.158452033996582,1620.0,0.0225900548723681,3,visual
