custom/intervention_type,custom/stage,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/iterations,time/fps,train/approx_kl,train/learning_rate,train/clip_fraction,train/entropy_loss,train/value_loss,train/loss,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/std,train/n_updates
"mass",7,5369856,-0.73663026,412.33,10,1,375,,,,,,,,,,,
"mass",7,5373952,-0.5825683,405.34,37,2,216,0.06618215,0.00025,0.5667867024739583,-33.35055569211642,0.028237867947124566,-0.77986741065979,-0.10644867017011468,0.6610598564147949,0.2,10.015806198120117,2340
"mass",7,5378048,-0.31533822,408.07,64,3,190,0.059855245,0.00025,0.5561350504557292,-33.48891403476397,0.025619580299341273,-0.7768104076385498,-0.10399474276152129,0.4981396794319153,0.2,10.178431510925293,2355
"mass",7,5382144,-0.11588814,400.64,91,4,179,0.06446722,0.00025,0.5685821533203125,-33.64792755643527,0.03054197383510958,-0.7861798405647278,-0.10485416598215427,0.7489876747131348,0.2,10.363500595092773,2370
"mass",7,5386240,0.07310453,401.45,117,5,173,0.0651387,0.00025,0.5667877197265625,-33.82025104562442,0.03522344947462746,-0.7830901145935059,-0.10076458032757121,0.6762018203735352,0.2,10.557082176208496,2385
"mass",7,5390336,0.2942125,395.36,145,6,168,0.053692017,0.00025,0.5266245524088542,-33.97353745897611,0.023761010136998568,-0.7831442952156067,-0.101203833357431,0.4720280170440674,0.2,10.722867965698242,2400
"mass",7,5394432,0.49588093,394.7,172,7,166,0.05862636,0.00025,0.5436696370442708,-34.117863057057065,0.03216768500521236,-0.7864058017730713,-0.09625811429141322,0.4169852137565613,0.2,10.910544395446777,2415
"mass",7,5398528,0.6561797,373.39,198,8,165,0.18560204,0.00025,0.5252400716145833,-34.27213630477588,0.03348267466644757,-0.757989764213562,-0.08541821348505134,0.6803387403488159,0.2,11.105481147766113,2430
"mass",7,5402624,0.93185127,355.81,225,9,163,0.06546967,0.00025,0.5933217366536458,-34.39587082664172,0.030246034562878776,-0.8116130232810974,-0.11047572180395945,0.3516058921813965,0.2,11.266633987426758,2445
"mass",7,5406720,0.9494477,361.72,251,10,162,0.058537237,0.00025,0.5641042073567708,-34.52811290621757,0.03114651611103909,-0.8004804849624634,-0.1090452109274338,0.611231118440628,0.2,11.440464973449707,2460
"mass",7,5410816,1.0032746,364.88,277,11,162,0.05797255,0.00025,0.5665761311848958,-34.66758854587873,0.02058971126486237,-0.8108133673667908,-0.1087962820015188,0.5821560025215149,0.2,11.636587142944336,2475
"mass",7,5414912,0.9343191,336.83,304,12,161,0.058604572,0.00025,0.5748291015625,-34.83596818049749,0.02770665687858127,-0.8215593695640564,-0.11150635129743022,0.5804302990436554,0.2,11.868000984191895,2490
"mass",7,5419008,1.0368744,344.49,330,13,160,0.066571936,0.00025,0.5992757161458333,-34.96438344120979,0.04724720848801856,-0.8064306974411011,-0.10961928106262349,0.5290892422199249,0.2,12.07278060913086,2505
