Logging to autocalc_pick_and_place/autocalc_curriculum_1
/home/kpatherya3/anaconda3/envs/causal_env/lib/python3.7/site-packages/stable_baselines3/common/callbacks.py:337: UserWarning: Training and eval env are not of the same type<stable_baselines3.common.vec_env.vec_monitor.VecMonitor object at 0x7f13d65dd810> != <stable_baselines3.common.vec_env.dummy_vec_env.DummyVecEnv object at 0x7f13d8ddf310>
  warnings.warn("Training and eval env are not of the same type" f"{self.training_env} != {self.eval_env}")
----------------------------------
| rollout/           |           |
|    ep_len_mean     | 251       |
|    ep_rew_mean     | 1.4615325 |
| time/              |           |
|    fps             | 1087      |
|    iterations      | 1         |
|    time_elapsed    | 3         |
|    total_timesteps | 4096      |
----------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 251        |
|    ep_rew_mean          | 1.4105262  |
| time/                   |            |
|    fps                  | 720        |
|    iterations           | 2          |
|    time_elapsed         | 11         |
|    total_timesteps      | 8192       |
| train/                  |            |
|    approx_kl            | 0.02441597 |
|    clip_fraction        | 0.248      |
|    clip_range           | 0.2        |
|    entropy_loss         | -17.9      |
|    explained_variance   | 0.857      |
|    learning_rate        | 0.00025    |
|    loss                 | -0.399     |
|    n_updates            | 1170       |
|    policy_gradient_loss | -0.033     |
|    std                  | 1.77       |
|    value_loss           | 0.0127     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 251        |
|    ep_rew_mean          | 1.4210466  |
| time/                   |            |
|    fps                  | 626        |
|    iterations           | 3          |
|    time_elapsed         | 19         |
|    total_timesteps      | 12288      |
| train/                  |            |
|    approx_kl            | 0.02293159 |
|    clip_fraction        | 0.266      |
|    clip_range           | 0.2        |
|    entropy_loss         | -17.9      |
|    explained_variance   | 0.807      |
|    learning_rate        | 0.00025    |
|    loss                 | -0.403     |
|    n_updates            | 1185       |
|    policy_gradient_loss | -0.0364    |
|    std                  | 1.79       |
|    value_loss           | 0.0144     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.4569185   |
| time/                   |             |
|    fps                  | 594         |
|    iterations           | 4           |
|    time_elapsed         | 27          |
|    total_timesteps      | 16384       |
| train/                  |             |
|    approx_kl            | 0.023648165 |
|    clip_fraction        | 0.242       |
|    clip_range           | 0.2         |
|    entropy_loss         | -18         |
|    explained_variance   | 0.83        |
|    learning_rate        | 0.00025     |
|    loss                 | -0.407      |
|    n_updates            | 1200        |
|    policy_gradient_loss | -0.0369     |
