time/time_elapsed,custom/stage,time/fps,time/total_timesteps,time/iterations,custom/intervention_type,rollout/ep_len_mean,rollout/ep_rew_mean,train/approx_kl,train/entropy_loss,train/learning_rate,train/clip_fraction,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/loss,train/std,train/n_updates,train/value_loss
9,3,453,5156864,1,"visual",317.45,1.2284613,,,,,,,,,,,
29,3,273,5160960,2,"visual",323.52,1.2485107,0.089726135,-24.950293692946435,0.00025,0.625897216796875,0.60342937707901,0.2,-0.09966738730921255,-0.593508243560791,3.8961405754089355,1560,0.021420102275927395
51,3,240,5165056,3,"visual",333.19,1.2035601,0.07176524,-25.136352190375327,0.00025,0.6159983317057292,0.8200380653142929,0.2,-0.10987777560512768,-0.6195054650306702,3.983280658721924,1575,0.015330461241440692
71,3,228,5169152,4,"visual",354.31,1.2151458,0.17760262,-25.301373401284216,0.00025,0.6149566650390625,0.6249578595161438,0.2,-0.10463732970141185,-0.6080474853515625,4.0442328453063965,1590,0.03917119737695127
92,3,220,5173248,5,"visual",356.08,1.2163223,0.07685268,-25.397539922595023,0.00025,0.6265513102213541,0.7669060081243515,0.2,-0.11268743378993046,-0.6248312592506409,4.08757209777832,1605,0.03003291350372213
113,3,216,5177344,6,"visual",345.86,1.2734202,0.08803242,-25.52605760296186,0.00025,0.6546793619791667,0.7905432879924774,0.2,-0.11687809099870113,-0.637627124786377,4.158452033996582,1620,0.02259005487236815
134,3,213,5181440,7,"visual",339.89,1.4516159,0.08548541,-25.724772652983667,0.00025,0.6062764485677083,0.7382476627826691,0.2,-0.10119396882534298,-0.6124955415725708,4.265349388122559,1635,0.03948638863754847
155,3,210,5185536,8,"visual",343.64,1.3157682,0.06082327,-25.90862921079,0.00025,0.5987538655598958,0.7284280359745026,0.2,-0.11250280667372863,-0.6358628869056702,4.32954740524292,1650,0.022520441721038273
175,3,210,5189632,9,"visual",352.49,1.1383493,0.26960126,-26.030705086390178,0.00025,0.612054443359375,0.6876161992549896,0.2,-0.10490394880301514,-0.6336340308189392,4.387721538543701,1665,0.03393090717533293
196,3,208,5193728,10,"visual",349.25,1.0910565,0.52536964,-26.188569126526513,0.00025,0.6687388102213542,0.6982751786708832,0.2,-0.10726427100259267,-0.6346067786216736,4.482641696929932,1680,0.03868258584019107
216,3,207,5197824,11,"visual",358.75,1.1523403,0.07263616,-26.37256240049998,0.00025,0.5928232828776042,0.648773580789566,0.2,-0.10084530297754099,-0.6361476182937622,4.574388027191162,1695,0.0320288948622571
237,3,206,5201920,12,"visual",374.34,1.0091168,0.07646435,-26.530713776747387,0.00025,0.5953389485677083,0.792673721909523,0.2,-0.10156063390556179,-0.6433783173561096,4.6580891609191895,1710,0.029711176951726277
258,3,206,5206016,13,"visual",382.04,1.2081622,0.09546302,-26.71003434161345,0.00025,0.6495656331380208,0.8024522364139557,0.2,-0.11382572843309996,-0.6561070680618286,4.756502628326416,1725,0.023867169831646606
