intervention_type,elapsed_time,mean_episode_length,frames_per_second,total_timesteps,iteration,mean_episode_reward,stage,policy_std,learning_rate,policy_gradient_loss,approx_kl_divergence,policy_loss,clip_fraction,value_loss,clip_range,explained_variance,num_updates,entropy_loss,stage,intervention_type
none,8,501.0,455,5103616,1,3.7343915,2,,,,,,,,,,,,2,none
none,29,501.0,279,5107712,2,3.8229046,2,2.984023332595825,0.00025,-0.0921023003393202,0.2724262,-0.5628347992897034,0.5494608561197917,0.0266537792864255,0.2,0.8201979845762253,1365.0,-22.584132632613183,2,none
none,49,501.0,247,5111808,3,3.863089,2,3.0038790702819824,0.00025,-0.0934167490985904,0.051130056,-0.5519821047782898,0.4910176595052083,0.0267391391224615,0.2,0.7548383474349976,1380.0,-22.677299682299296,2,none
none,69,501.0,234,5115904,4,3.8568301,2,3.031815528869629,0.00025,-0.0918582232375532,0.04614178,-0.5523567795753479,0.468194580078125,0.0297271316318074,0.2,0.8023876398801804,1395.0,-22.745251260201137,2,none
none,90,501.0,226,5120000,5,3.7840893,2,3.078979015350342,0.00025,-0.0941759150746899,0.054465562,-0.5561466217041016,0.5165740966796875,0.0224406554640154,0.2,0.7211765944957733,1410.0,-22.877717938025796,2,none
none,110,501.0,222,5124096,6,3.7026367,2,3.119318723678589,0.00025,-0.1036131852912755,0.06686228,-0.5748881697654724,0.5555246988932292,0.0195923678926192,0.2,0.7728944569826126,1425.0,-22.983090149362884,2,none
none,131,501.0,218,5128192,7,3.5651798,2,3.179068326950073,0.00025,-0.103119835955537,0.053002704,-0.5701137781143188,0.5572275797526042,0.0258226419377024,0.2,0.7427707016468048,1440.0,-23.152965091665585,2,none
none,151,501.0,216,5132288,8,3.4663093,2,3.216894149780273,0.00025,-0.1085095021718492,0.06339936,-0.5872877836227417,0.5779215494791666,0.0213817325857235,0.2,0.7379669547080994,1455.0,-23.2674236814181,2,none
none,171,501.0,214,5136384,9,3.507068,2,3.2539877891540527,0.00025,-0.1071413981718554,0.07154243,-0.5767649412155151,0.576495361328125,0.0310701095280819,0.2,0.8713788241147995,1470.0,-23.36096178988616,2,none
none,192,501.0,213,5140480,10,3.4673705,2,3.29729962348938,0.00025,-0.1031278526669969,0.045578204,-0.5874964594841003,0.5119639078776042,0.0268017586437053,0.2,0.747590571641922,1485.0,-23.485562759637837,2,none
none,212,501.0,211,5144576,11,3.273096,2,3.3366711139678955,0.00025,-0.0986184368683704,0.07125895,-0.576503336429596,0.5419759114583333,0.0348594595425917,0.2,0.6298758089542389,1500.0,-23.5968138217926,2,none
none,233,501.0,210,5148672,12,3.1299152,2,3.3712103366851807,0.00025,-0.0937087305511037,0.049357023,-0.56302410364151,0.5013112386067708,0.0413924571980411,0.2,0.7257894575595856,1515.0,-23.700104175011315,2,none
none,253,501.0,210,5152768,13,3.1681812,2,3.4264423847198486,0.00025,-0.0826731265818428,0.089310035,-0.5588122606277466,0.5319905598958333,0.0813693416460106,0.2,0.7516130656003952,1530.0,-23.809542324145635,2,none
none,8,501.0,462,5156864,1,3.2563734,3,,,,,,,,,,,,3,none
none,29,501.0,279,5160960,2,3.1656625,3,3.519962787628174,0.00025,-0.1008439036314181,0.060133524,-0.5827733278274536,0.5546000162760417,0.0198259522794008,0.2,0.8348911702632904,1560.0,-24.06532180806001,3,none
none,49,501.0,246,5165056,3,3.0551803,3,3.5763630867004395,0.00025,-0.0880004936996556,0.053079836,-0.5748615264892578,0.5269500732421875,0.0412877691841761,0.2,0.752082109451294,1575.0,-24.20458534359932,3,none
none,70,501.0,232,5169152,4,3.0884843,3,3.607405424118042,0.00025,-0.1033427704280863,0.058330122,-0.5918948650360107,0.53475341796875,0.023494611781886,0.2,0.6575112640857697,1590.0,-24.298477987448376,3,none
none,90,501.0,225,5173248,5,3.1024234,3,3.6501731872558594,0.00025,-0.0898891565438437,0.057916306,-0.5823610424995422,0.5087005615234375,0.0320521910480844,0.2,0.7190553843975067,1605.0,-24.41292410890261,3,none
none,111,501.0,220,5177344,6,3.2256615,3,3.69775390625,0.00025,-0.0947027031480198,0.074073866,-0.5809619426727295,0.5440968831380208,0.0287589553641737,0.2,0.808783769607544,1620.0,-24.51699120302995,3,none
none,132,501.0,216,5181440,7,3.259114,3,3.736753702163696,0.00025,-0.0933917987883129,0.059137553,-0.5832180976867676,0.5342875162760417,0.0472050164816513,0.2,0.7455843091011047,1635.0,-24.62133505443732,3,none
none,152,501.0,214,5185536,8,3.3055496,3,3.8406457901000977,0.00025,-0.0973659631682191,0.07305625,-0.5772818922996521,0.601348876953125,0.0424915452177325,0.2,0.8094281852245331,1650.0,-24.823673553268115,3,none
none,173,501.0,212,5189632,9,3.3313403,3,3.9154772758483887,0.00025,-0.0936930969997774,0.059542324,-0.5965776443481445,0.5447703043619792,0.0337638063472695,0.2,0.7105346024036407,1665.0,-24.99763816595077,3,none
none,193,501.0,211,5193728,10,3.534265,3,3.98220157623291,0.00025,-0.092912918322448,0.06371094,-0.5988588929176331,0.5084116617838542,0.034498387320976,0.2,0.7795659899711609,1680.0,-25.16883945067724,3,none
none,214,501.0,210,5197824,11,3.5732832,3,4.041692733764648,0.00025,-0.0982026798272272,0.054179102,-0.6094847321510315,0.5394907633463542,0.0305929707722195,0.2,0.7336680293083191,1695.0,-25.32867177426815,3,none
none,235,501.0,209,5201920,12,3.5735931,3,4.075199604034424,0.00025,-0.0825258809134538,0.063986175,-0.5987647771835327,0.4995066324869792,0.0460173360576542,0.2,0.7523378729820251,1710.0,-25.377899858355523,3,none
