time/time_elapsed,custom/stage,time/fps,time/total_timesteps,time/iterations,custom/intervention_type,rollout/ep_len_mean,rollout/ep_rew_mean,train/approx_kl,train/entropy_loss,train/learning_rate,train/clip_fraction,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/loss,train/std,train/n_updates,train/value_loss
9,6,454,5316608,1,"goal",472.47,0.6351431,,,,,,,,,,,
30,6,270,5320704,2,"goal",463.34,0.52616143,0.06808059,-32.335642755031586,0.00025,0.5922831217447917,0.715494841337204,0.2,-0.11252467730349357,-0.7669541239738464,8.932595252990723,2145,0.03513130598488109
51,6,239,5324800,3,"goal",468.34,0.4871732,0.06425578,-32.537331545352934,0.00025,0.5643900553385417,0.6078474223613739,0.2,-0.09972569256545588,-0.7684286236763,9.155020713806152,2160,0.025009076146913382
72,6,225,5328896,4,"goal",468.34,0.65511835,0.07632306,-32.760892458756764,0.00025,0.6015940348307292,0.7284189462661743,0.2,-0.10001971927995328,-0.7643648386001587,9.405976295471191,2175,0.025294400272832716
93,6,218,5332992,5,"goal",472.08,0.66328263,0.07317001,-32.94601875742276,0.00025,0.5849863688151041,0.6769236922264099,0.2,-0.10058977715307264,-0.7679767608642578,9.597712516784668,2190,0.022489332270924933
114,6,213,5337088,6,"goal",464.85,0.67699975,0.072675616,-33.16539107561111,0.00025,0.5799794514973958,0.3146335482597351,0.2,-0.08279217329303114,-0.752769947052002,9.849126815795898,2205,0.03947639159644799
136,6,210,5341184,7,"goal",456.95,0.6785585,0.07577133,-33.37616706291835,0.00025,0.5839762369791667,0.37705177068710327,0.2,-0.09206822917233998,-0.7646969556808472,10.0828218460083,2220,0.03354329027157898
157,6,207,5345280,8,"goal",456.55,0.5553193,0.07120765,-33.52585633595785,0.00025,0.596026611328125,0.7366756796836853,0.2,-0.11309790735928497,-0.8017457127571106,10.232312202453613,2235,0.024889811745864184
178,6,206,5349376,9,"goal",458.44,0.48368198,0.06073003,-33.63708822727203,0.00025,0.505706787109375,0.5787211656570435,0.2,-0.08201193924833206,-0.7503618597984314,10.335638999938965,2250,0.027175951862591318
200,6,204,5353472,10,"goal",453.81,0.5681073,0.07033597,-33.91186370650927,0.00025,0.5522786458333333,0.3619379997253418,0.2,-0.07266999873172608,-0.7732207179069519,10.7628173828125,2265,0.02994643139487986
221,6,203,5357568,11,"goal",449.05,0.4917203,0.07161199,-34.23260204990705,0.00025,0.5942179361979166,0.6105462312698364,0.2,-0.09753231790285402,-0.7960818409919739,11.13303279876709,2280,0.020553441900362183
1650,6,29,5361664,12,"goal",453.68,0.3853346,0.086892515,-34.4959936439991,0.00025,0.5984670003255208,0.7151697874069214,0.2,-0.1019984121225813,-0.7993826866149902,11.493391036987305,2295,0.02976213502261089
1672,6,31,5365760,13,"goal",458.33,0.34964737,0.05850994,-34.7216898838679,0.00025,0.527545166015625,0.5910466015338898,0.2,-0.09727730146017469,-0.7987014055252075,11.701276779174805,2310,0.0488714925168703
